# 41220
# author_id;author_name
1061;Gerald Kaiser
1062;K. Schwarzschild
1063;S. Deleglise
1064;G. Galloway
1065;Alexander Thorne
1066;Daniel O. Souza
1067;Derek Davis
1068;Luis E. Arroyo Meza
1069;O. Zaslavskii
1070;Joseph I. Kapusta
1071;Kyriaki Dionysopoulou
1072;Peter Zhang
1073;M. Kulas
1074;Daniel M. Siegel
1075;Anton V. Sokolov
1076;S. Fairhurst
1077;S. Esposito
1078;D. Flassig
1079;Yann Rasera
1080;Chia-Hsiung Tze
1081;Zhi-Liang Yang
1082;G. Surpi
1083;Abhishek Basak
1084;Sami W. Asmar
1085;Steen Hannestad
1086;M. Hayashida
1087;Aqeel Ahmed
1088;Karl Hallowell
1089;Yuichiro Takushima
1090;L. R. U. Manssur
1091;Najibeh Borhani
1092;Yi-De Jing
1093;Abhishek Parida
1094;André Tilquin
1095;Ciro Biancofiore
1096;M. Lubini
1097;S. K. Patra
1098;D. A. Varshalovich
1099;J. K. Wofford
1100;Sundas Fatima
1101;Tiziano Abdelsalhin
1102;Nicolás Yunes
1103;Maxim Brilenkov
1104;W. Hummel
1105;Alexander Yu. Osipov
1106;Norbert Klein
1107;Fawad Khan
1108;Ken-Ichi Nakao
1109;Alexey Chopovsky
1110;Massimo D'Elia
1111;Erika D'Ambrosio
1112;Chris Verhaaren
1113;Daniel Wysocki
1114;Yue Sun
1115;Ben Freivogel
1116;Ahmad Hoseinpour
1117;Matthias Rubart
1118;Pauline Dredger
1119;M. L. Chiofalo
1120;R. X. Adhikari
1121;P. Wei
1122;J. A. Font
1123;O. Perdereau
1124;Vishal Baibhav
1125;Thierry Daude
1126;Denis Frank
1127;R Gouaty
1128;G. Tatishvili
1129;P. Mason
1130;A. J. Ferreira-Martins
1131;J. M. Quintana
1132;Satoshi Tsuchida
1133;B. A. Berg
1134;Sh. Kh. Ibrahim
1135;Carlos Barragan
1136;R. Argurio
1137;L. Chandar
1138;G. Tsogtgerel
1139;H Alshal
1140;S. Foerste
1141;R. Nawrodt
1142;Yue-qin Wu
1143;Sebastiano Ligori
1144;R. N. Caballero
1145;Ulf Linstrom
1146;Derek Fox
1147;Gerasimos I. Rigopoulos
1148;Mariano Franco
1149;P. Aufmuth
1150;Hoshang Heydari
1151;Ibrahim Burak Ilhan
1152;Kallol Sen
1153;Quentin G. Bailey
1154;Georgios Lukes-Gerakopoulos
1155;Daniel Pollack
1156;M. X Shao
1157;Hans C. Ohanian
1158;Andreas Schärer
